date,food,outfit,dwelling,health,beauty,remote,money,travel,kids,nonfood,telecom,fun,charity,misc
2020-03-12,6359321.220000103,1359744.63,1784200.8200000003,1241386.869999999,399366.27999999997,34325.15000000002,38623533.64999998,3589579.9299999964,221143.88999999998,1359955.5900000005,527043.51,2614010.1399999987,5095.0,817041.5899999999
2020-03-13,8343507.970000156,1131783.21,2369776.119999999,1229811.900000001,548460.5200000001,52717.53,46599958.46000002,4246396.9999999935,342279.4600000001,1226467.5199999998,676373.6200000001,2588503.0999999973,9120.0,808373.8099999998
2020-03-14,9730723.490000155,2492045.6100000003,2402107.9399999995,1230839.5399999989,531216.26,59514.740000000005,25842717.21,4259332.560000002,371820.8500000001,1783698.4999999995,624248.72,2686660.1500000027,3591.5,784969.66
2020-03-15,8436028.880000107,1729583.72,1904285.2000000002,844414.0599999997,517566.9400000001,42981.82,19848076.790000003,2971909.5499999966,294085.79,1111557.9399999992,551509.1499999999,2826309.9500000053,1900.0,536255.8600000001
2020-03-16,7665686.410000118,629309.5899999999,2650370.41,1254978.4299999997,387255.36,49446.85999999999,41996793.73,3469661.5799999973,187085.83000000007,1062696.1700000004,388634.2999999998,1825057.1199999938,3113.76,692572.33
2020-03-17,8195674.650000126,610250.6300000001,2317296.87,1530573.1399999997,364933.73,96470.89,42114373.830000006,3522927.9599999953,228192.23999999996,1112203.7300000004,435194.0,1909173.8199999928,13360.0,1151546.7400000002
2020-03-18,7011777.710000115,1480759.04,1621649.3299999998,1811970.2600000005,340571.38999999996,28812.140000000003,41067742.83999998,2653445.3300000005,227685.14999999997,1247242.5000000005,395079.05999999994,1769237.749999995,4860.88,802968.6900000001
2020-03-19,7371895.510000132,1364691.8700000003,2048445.5200000003,1255468.4100000013,436269.48,34314.02000000001,35924628.26999999,3571055.4100000006,206363.91999999998,1076989.17,531569.81,2956679.140000005,62882.59,808206.6599999998
2020-03-20,7592342.440000108,1036603.1500000001,2865002.6500000004,1265420.3500000003,375897.72,48088.729999999974,42384965.19000002,3883909.9899999923,452687.9800000001,1789900.7100000007,395464.75999999995,2464142.679999996,1457.6399999999999,792939.09
2020-03-21,8177838.650000131,2004021.71,2828108.9900000007,1024582.68,465338.64,34433.54999999999,26552318.61,4169792.419999995,312665.45999999996,1621460.1099999992,524842.02,3158627.090000009,3453.77,940324.9600000001
2020-03-22,7031687.340000076,1254651.8,1800964.9700000002,659137.7300000003,398767.13,25301.81,13277347.450000005,1863008.089999995,192314.06000000003,1177258.33,413451.99999999994,1711922.4399999953,4290.0,393512.4600000001
